TCP_name_heading,entity_type,entity_title,wiki_entity_id,description,what,aliases,Library of Congress authority ID,VIAF cluster ID,Oxford Dictionary of National Biography ID,Encyclopædia Britannica Online ID,writing language,date of birth,date of death,manner of death,cause of death,country of citizenship,occupation,student of,position held,field of work,religion or worldview,sex or gender,educated at,diocese,described by source,Oxford DNB Link
"Robert Needham, died 1678",PERSON,Robert Needham,Q7347976,English politician,human,['Sir Robert Needham'],,,,,,,+1661-01-01T00:00:00Z,,,,politician (Q82955),,"['Member of Parliament in the Parliament of England (Q18018860)', 'Member of the 1642-48 Parliament (Q105958303)']",,,male (Q6581097),,,,
"Robert Neville, 1640 or 1-1694",PERSON,Robert Neville (bishop),Q6013428,English bishop,human,"['Robert Nevill', 'Robert de Neville']",,,19962.0,,,+1404-00-00T00:00:00Z,+1457-07-09T00:00:00Z,,,,"['Catholic priest (Q250867)', 'Catholic bishop (Q611644)']",,"['Roman Catholic bishop of Durham (Q108392993)', 'diocesan bishop (Q1144278)']",,Catholic Church (Q9592),male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Robert Nightingale, active 1680",PERSON,Danny Nightingale,Q3938388,modern pentathlete,human,,,,,,,+1954-05-21T00:00:00Z,,,,United Kingdom (Q145),"['modern pentathlete (Q15972912)', 'pentathlete (Q21141408)']",,,,,male (Q6581097),Wells Cathedral School (Q7981628),,,
"Robert Nixon, active 1620?",PERSON,Robert Nixon (politician),Q7348049,Canadian politician in Ontario,human,['Robert Fletcher Nixon'],,,,,,+1928-07-17T00:00:00Z,,,,Canada (Q16),politician (Q82955),,"['Leader of the Opposition (Q2962021)', 'member of the Ontario Provincial Parliament (Q3305347)']",,,male (Q6581097),"['University of Toronto (Q180865)', 'McMaster University (Q632891)']",,,
"Robert Nobbes, 1652-1706?",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Norton, died 1635",PERSON,Robert Norton (politician),Q7348069,English Conservative politician (1838–1926),human,,,,,,,+1838-10-11T00:00:00Z,+1926-06-07T00:00:00Z,,,United Kingdom of Great Britain and Ireland (Q174193),politician (Q82955),,"['member of the 24th Parliament of the United Kingdom (Q41582570)', 'member of the 23rd Parliament of the United Kingdom (Q41582568)']",,,male (Q6581097),,,,
"Robert Norwood, Captain",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Overton, circa 1609-circa 1668",PERSON,Robert Overton,Q7348178,English general,human,,,,20975.0,,,+1609-01-01T00:00:00Z,+1678-01-01T00:00:00Z,,,United Kingdom (Q145),"['military leader (Q1402561)', 'military officer (Q189290)']",,divisional general (Q2487961),,"['Baptists (Q93191)', 'Reformed Baptists (Q2122370)', 'Reformed Christianity (Q101849)']",male (Q6581097),St John's College (Q691283),,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Robert Parker, 1564-1614",PERSON,Robert Parker (minister),Q7348281,English Puritan clergyman and scholar,human,,n85196920,"['103212791', '9837772']",21334.0,,,+1564-01-01T00:00:00Z,+1614-01-01T00:00:00Z,,,,writer (Q36180),,,,,male (Q6581097),Magdalen College (Q81162),,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Parker,_Robert_(1564%3F-1614)"
"Robert Parry, active 1540-1612",PERSON,Robert Parry (poet),Q7348749,Welsh poet and translator,human,,nr93009045,76561584,21431.0,,,+1563-00-00T00:00:00Z,+1613-00-00T00:00:00Z,,,Kingdom of England (Q179876),"['translator (Q333634)', 'poet (Q49757)']",,,,,male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Robert Parry, active 1540-1612, attributed name",PERSON,Robert Parry (poet),Q7348749,Welsh poet and translator,human,,nr93009045,76561584,21431.0,,,+1563-00-00T00:00:00Z,+1613-00-00T00:00:00Z,,,Kingdom of England (Q179876),"['translator (Q333634)', 'poet (Q49757)']",,,,,male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Robert Parsons, 1546-1610",PERSON,Robert Persons,Q343791,Jesuit missionary and controversialist (1546-1610),human,"['Robert Parsons', 'Andrea Philopatrus', 'Andrea Philopater', 'Andreas Philopatrus', 'Andreas Philopater', 'Robertus Personius', 'Robertus Parsons', 'Roberto Personio', 'Robertus Parsonius', 'Robert Parson', 'Catholicke deuyne', 'Catholicke devyne', 'Nicholas Doleman', 'N. D.', 'John Philopatris']",n50078836,76338717,21474.0,biography/Robert-Parsons,,"['+1546-07-04T00:00:00Z', '+1546-06-24T00:00:00Z']","['+1610-04-15T00:00:00Z', '+1610-04-16T00:00:00Z']",natural causes (Q3739104),disease (Q12136),Kingdom of England (Q179876),"['Catholic priest (Q250867)', 'theologian (Q1234713)', 'missionary (Q219477)', 'debater (Q12307965)', 'writer (Q36180)']",,,,Catholic Church (Q9592),male (Q6581097),St Mary Hall (Q7594562),,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'World Biographical Information System Online (Q2593612)', 'Parsons, Robert (1546-1610) (DNB00) (Q19024827)', 'Robert Parsons, S.J (Q55019226)', 'P. Robertus Personius (Q55007188)', 'The Nuttall Encyclopædia (Q3181656)', 'Encyclopædia Britannica 11th edition (Q867541)', 'The Catholic Encyclopedia (Q302556)']","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Parsons,_Robert_(1546-1610)"
"Robert Parsons, 1546-1610, attributed name",PERSON,Robert Persons,Q343791,Jesuit missionary and controversialist (1546-1610),human,"['Robert Parsons', 'Andrea Philopatrus', 'Andrea Philopater', 'Andreas Philopatrus', 'Andreas Philopater', 'Robertus Personius', 'Robertus Parsons', 'Roberto Personio', 'Robertus Parsonius', 'Robert Parson', 'Catholicke deuyne', 'Catholicke devyne', 'Nicholas Doleman', 'N. D.', 'John Philopatris']",n50078836,76338717,21474.0,biography/Robert-Parsons,,"['+1546-07-04T00:00:00Z', '+1546-06-24T00:00:00Z']","['+1610-04-15T00:00:00Z', '+1610-04-16T00:00:00Z']",natural causes (Q3739104),disease (Q12136),Kingdom of England (Q179876),"['Catholic priest (Q250867)', 'theologian (Q1234713)', 'missionary (Q219477)', 'debater (Q12307965)', 'writer (Q36180)']",,,,Catholic Church (Q9592),male (Q6581097),St Mary Hall (Q7594562),,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'World Biographical Information System Online (Q2593612)', 'Parsons, Robert (1546-1610) (DNB00) (Q19024827)', 'Robert Parsons, S.J (Q55019226)', 'P. Robertus Personius (Q55007188)', 'The Nuttall Encyclopædia (Q3181656)', 'Encyclopædia Britannica 11th edition (Q867541)', 'The Catholic Encyclopedia (Q302556)']","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Parsons,_Robert_(1546-1610)"
"Robert Plot, 1640-1696",PERSON,Robert Plot,Q889609,English scientist,human,,n84233166,76658346,22385.0,biography/Robert-Plot,,+1640-12-13T00:00:00Z,+1696-04-30T00:00:00Z,,,Kingdom of England (Q179876),"['naturalist (Q18805)', 'archaeologist (Q3621491)', 'chemist (Q593644)']",,museum director (Q22132694),,,male (Q6581097),"['Magdalen Hall (Q10323023)', 'Hertford College (Q81090)']",,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'Men of Kent and Kentishmen (Q101589898)', 'Encyclopædia Britannica 11th edition (Q867541)']",
"Robert Pont, 1524-1606",PERSON,Robert Pont,Q7348958,Minister of the Church of Scotland,human,,no90024220,10195927,22507.0,,,+1524-01-01T00:00:00Z,+1606-01-01T00:00:00Z,,,,Christian minister (Q1423891),,Moderator of the General Assembly of the Church of Scotland (Q6888514),,,male (Q6581097),University of St Andrews (Q216273),,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'Encyclopædia Britannica 11th edition (Q867541)']","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Durie,_John_(1537-1600)"
"Robert Powell, active 1636-1652",PERSON,Robert Powell (priest),Q96402240,English Anglican priest (d. 1683),human,,,,,,,,+1683-01-01T00:00:00Z,,,,,,,,,male (Q6581097),"['Shrewsbury School (Q2280221)', 'Pembroke College (Q956501)']",,,
"Robert Pricke, died ca",PERSON,Robert Pricke,Q18672238,English publisher and translator,human,,n85053625,268459681,22778.0,,,+1642-01-01T00:00:00Z,+1708-00-00T00:00:00Z,,,"['Kingdom of England (Q179876)', 'Kingdom of Great Britain (Q161885)']",translator (Q333634),,,,,male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Pricke,_Robert"
"Robert Purnell, died 1666",PERSON,Robert Purnell,Q23620535,Australian politician,human,,,,,,,+1855-03-30T00:00:00Z,+1937-06-01T00:00:00Z,,,,politician (Q82955),,Member of the Victorian Legislative Assembly (Q18534408),,,male (Q6581097),,,,
"Robert Randolph, 1612 or 13-1671",PERSON,Robert Randolph (priest),Q19661139,British priest,human,,,,,,,,,,,,priest (Q42603),,,,Catholic Church (Q9592),male (Q6581097),,,,
"Robert Read, active 1653-1656",PERSON,Robert Read,Q7349189,Canadian politician (1814–1896),human,,,,,,,+1814-12-11T00:00:00Z,+1896-06-29T00:00:00Z,,,Canada (Q16),"['politician (Q82955)', 'farmer (Q131512)', 'distiller (Q23924989)', 'tanner (Q365461)']",,"['member of the House of Commons of Canada (Q15964890)', 'member of the Senate of Canada (Q18524027)', 'member of the Senate of Canada (Q18524027)', 'member of the Senate of Canada (Q18524027)', 'member of the Senate of Canada (Q18524027)', 'member of the Senate of Canada (Q18524027)', 'member of the Senate of Canada (Q18524027)', 'member of the Senate of Canada (Q18524027)', 'member of the Senate of Canada (Q18524027)']",,,male (Q6581097),,,,
"Robert Record, 1510?-1558",PERSON,Robert Recorde,Q318192,Welsh mathematician and inventor of the symbol '=',human,,n50046081,27412853,23241.0,biography/Robert-Recorde,,"['+1512-00-00T00:00:00Z', '+1510-00-00T00:00:00Z']",+1558-01-01T00:00:00Z,,,"['United Kingdom (Q145)', 'Wales (Q25)']","['mathematician (Q170790)', 'physician (Q39631)', 'philosopher (Q4964182)']",,,mathematics (Q395),,male (Q6581097),"['University of Cambridge (Q35794)', 'University of Oxford (Q34433)']",,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'The Nuttall Encyclopædia (Q3181656)']",
"Robert Robinson, Londoner",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Rookwood, 1588-1668",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Sanderson, 1587-1663",PERSON,Robert Sanderson (theologian),Q7349562,English Anglican theologian and casuist (1587-1663),human,,n81071535,44376478,24627.0,,,+1587-09-19T00:00:00Z,+1663-01-29T00:00:00Z,,,,"['writer (Q36180)', 'theologian (Q1234713)']",,Anglican bishop of Lincoln (Q1837214),,Anglicanism (Q6423963),male (Q6581097),"['Lincoln College (Q81153)', 'Rotherham Grammar School (Q7370433)']",Anglican Diocese of Lincoln (Q2501001),"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'The Nuttall Encyclopædia (Q3181656)', 'Encyclopædia Britannica 11th edition (Q867541)']","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Sanderson,_Robert_(1587-1663)"
"Robert Scamler, born 1653 or 4",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Sharrock, 1630-1684",PERSON,Robert Sharrock,Q7349725,British botanist and philosopher (1630-1684),human,,n85035342,5356276,25243.0,,,+1630-00-00T00:00:00Z,+1684-00-00T00:00:00Z,,,Kingdom of England (Q179876),"['philosopher (Q4964182)', 'botanist (Q2374149)', 'Anglican priest (Q3409375)']",,,,,male (Q6581097),"['Winchester College (Q1059517)', 'New College (Q1376987)']",,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'BEIC Digital Library (Q51955019)']","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Sharrock,_Robert"
"Robert Shelford, 1562 or 3-1627",PERSON,Robert Walter Campbell Shelford,Q2159139,British entomologist (1872–1912),human,"['Shelford', 'R. Shelford', 'Robert W. C. Shelford', 'Robert Shelford']",n89636638,2848190,,,,+1872-08-03T00:00:00Z,+1912-06-22T00:00:00Z,,,"['Malaysia (Q833)', 'United Kingdom of Great Britain and Ireland (Q174193)']",entomologist (Q3055126),,,,,male (Q6581097),"['Emmanuel College (Q797892)', ""King's College London (Q245247)""]",,,
"Robert Skene, active 1631",PERSON,Robert Skene (polo player),Q7349827,Australian polo player (1914–1997),human,"['Charles Robertson Skene', 'Bob Skene', 'Hurricane Bob']",,48004364,,,,+1914-05-26T00:00:00Z,+1997-08-24T00:00:00Z,,,Australia (Q408),polo player (Q13218361),,,,,male (Q6581097),,,,
"Robert Some, 1542-1609",PERSON,Robert Some,Q7349910,English academic,human,,nr93009619,57666966,25994.0,,,+1542-01-01T00:00:00Z,+1609-01-01T00:00:00Z,,,,,,vice-chancellor (Q12416358),,Anglicanism (Q6423963),male (Q6581097),St John's College (Q691283),,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Some,_Robert"
"Robert Sybthorpe, died 1662",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Tailor, active 1614",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Thoroton, 1623-1678",PERSON,Robert Thoroton,Q7350382,English antiquarian,human,,n85143453,27413099,27371.0,,,+1623-00-00T00:00:00Z,+1678-00-00T00:00:00Z,,,Kingdom of England (Q179876),antiquarian (Q5697103),,,,,male (Q6581097),,,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'Encyclopædia Britannica 11th edition (Q867541)']",
"Robert Tofte, 1561-1620",PERSON,Robert Tofte,Q7350421,English poet and translator,human,,nr90021071,71428616,27495.0,,English (Q1860),+1562-01-01T00:00:00Z,+1620-01-01T00:00:00Z,,,,"['linguist (Q14467526)', 'translator (Q333634)', 'poet (Q49757)']",,,,,male (Q6581097),University of Oxford (Q34433),,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Tofte,_Robert"
"Robert Turner, active 1654-1665",PERSON,Robert Turner (defensive back),Q30612635,American football player,human,,,,,,,+1971-03-22T00:00:00Z,+1991-05-19T00:00:00Z,,,United States (Q30),American football player (Q19204627),,,,,male (Q6581097),Port Gibson High School (Q107241311),,,
"Robert Tynley, 1561 or 2-1616",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Underwood, active 1605",PERSON,Robert A. Underwood,Q2156310,American politician,human,['Robert Anacletus Underwood'],,,,,English (Q1860),+1948-07-13T00:00:00Z,,,,United States (Q30),"['politician (Q82955)', 'chancellor (Q61061)']",,"['non-voting member of the U.S. House of Representatives (Q5253588)', 'non-voting member of the U.S. House of Representatives (Q5253588)', 'non-voting member of the U.S. House of Representatives (Q5253588)', 'non-voting member of the U.S. House of Representatives (Q5253588)', 'non-voting member of the U.S. House of Representatives (Q5253588)']",,,male (Q6581097),"['University of Southern California (Q4614)', 'California State University, Los Angeles (Q1026932)', 'USC Rossier School of Education (Q7866350)', 'John F. Kennedy High School (Q6232353)']",,,
"Robert Vaughan, 1592-1667",PERSON,Robert Vaughan (antiquary),Q7350584,Welsh antiquarian and collector of manuscripts (1592–1667),human,['Robert Powell Vaughan'],n85311626,42189499,28141.0,,,+1592-01-01T00:00:00Z,"['+1667-01-01T00:00:00Z', '+1667-05-16T00:00:00Z']",,,,"['antiquarian (Q5697103)', 'collector (Q3243461)', 'historian (Q201788)']",,,,,male (Q6581097),Oriel College (Q81170),,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Robert Vaughan, engraver",PERSON,Robert Vaughan (antiquary),Q7350584,Welsh antiquarian and collector of manuscripts (1592–1667),human,['Robert Powell Vaughan'],n85311626,42189499,28141.0,,,+1592-01-01T00:00:00Z,"['+1667-01-01T00:00:00Z', '+1667-05-16T00:00:00Z']",,,,"['antiquarian (Q5697103)', 'collector (Q3243461)', 'historian (Q201788)']",,,,,male (Q6581097),Oriel College (Q81170),,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Robert Vilvain, 1575?-1663",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Ward, active 1639",PERSON,Robert Ward (scholar),Q7350857,Bible translator,human,,,,,,,,+1629-01-01T00:00:00Z,,,,"['translator (Q333634)', 'Bible translator (Q24262584)']",,,,,male (Q6581097),,,,
"Robert Ware, died 1696",PERSON,Robert Ware,Q56043002,historian and forger,human,,n85086739,8813457,,,,+1639-10-23T00:00:00Z,+1697-04-07T00:00:00Z,,,,historian (Q201788),,,,,male (Q6581097),,,,
"Robert Waring, 1614-1658",PERSON,Robert Waring,Q16863839,English academic,human,,n82054715,61534154,28744.0,,,+1614-01-01T00:00:00Z,+1658-01-01T00:00:00Z,,,,writer (Q36180),,,,,male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Waring,_Robert"
"Robert Wensley, 1647-1689",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert West, born ca",PERSON,Robert West (politician),Q17402930,British activist,human,['Robert Malcolm Brian West'],,,,,,+1955-10-11T00:00:00Z,,,,United Kingdom (Q145),,,,,,male (Q6581097),,,,
"Robert White, 1645-1703",PERSON,Robert Meadows White,Q7347601,English priest,human,['Robert White'],,285199239,29270.0,,,+1798-01-08T00:00:00Z,+1865-00-00T00:00:00Z,,,,"['Christian minister (Q1423891)', 'linguist (Q14467526)', 'university teacher (Q1622272)']",,,Old English (Q42365),Anglicanism (Q6423963),male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/White,_Robert_Meadows"
"Robert White, 1645-1703,",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert White, 1645-1703, engraver",PERSON,Robert White (engraver),Q12072854,English draughtsman and engraver (1645-1703),human,,n85057360,94335191,29268.0,,,+1645-01-01T00:00:00Z,+1703-01-01T00:00:00Z,,,United Kingdom (Q145),"['draftsperson (Q15296811)', 'copper engraver (Q13365770)', 'engraver (Q329439)']",David Loggan (Q5236742),,,,male (Q6581097),,,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'A Dictionary of the Booksellers and Printers who Were at Work in England, Scotland and Ireland from 1641 to 1667 (Q40901539)', 'Encyclopædia Britannica 11th edition (Q867541)']","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/White,_Robert_(1645-1703)"
"Robert Whitehall, 1625-1685",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Whittle, died 1638",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Wild, 1609-1679",PERSON,Robert Wild (poet),Q7351052,English poet,human,,n83161123,17570041,29395.0,,,"['+1615-01-01T00:00:00Z', '+1609-01-01T00:00:00Z']",+1679-01-01T00:00:00Z,,,,poet (Q49757),,,,Anglicanism (Q6423963),male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Wild,_Robert"
"Robert Wilkinson, Dr",PERSON,Robert Wilkinson (Canadian politician),Q28002527,Canadian politician in the Legislative Assembly of British Columbia,human,,,,,,,+1888-02-08T00:00:00Z,+1967-01-04T00:00:00Z,,,Canada (Q16),,,,,,male (Q6581097),,,,
"Robert Wilson, died 1600",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Winstanley, born 1647?",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Wittie, 1613?-1684",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Wolcomb, born 1567 or 8",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Wood, 1622?-1685",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Yarington, active 1601",PERSON,Robert Yarington,Q7351304,Supposed English playwright,human,,n83230273,69284731,30185.0,,,,,,,Kingdom of England (Q179876),playwright (Q214917),,,,,male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Robertus Keuchenius, 1636-1673",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Robins Robins, Robert",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Rocket Rocket, John",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Rocoles, Jean-Baptiste de Rocoles, Jean-Baptiste de, 1620",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodrigo Fernández de Ribera, 1579-1631",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Roger Anderton, died 1640?, attributed name",PERSON,Anderton family,Q4754278,Notable Roman Catholic family,family,,,,,,,,,,,,,,,,,,,,,
"Roger Ascham, 1515-1568",PERSON,Roger Ascham,Q965811,English scholar and didactic writer (1515-1568),human,,n50002004,22219996,732.0,biography/Roger-Ascham,English (Q1860),+1515-00-00T00:00:00Z,"['+1568-12-30T00:00:00Z', '+1568-12-23T00:00:00Z', '+1568-00-00T00:00:00Z']",,,England (Q21),writer (Q36180),,,,,male (Q6581097),St John's College (Q691283),,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'Literary Encyclopedia 1929—1939 (Q4263804)', 'The Nuttall Encyclopædia (Q3181656)', ""Library of the World's Best Literature (Q19098835)"", 'Encyclopædia Britannica 11th edition (Q867541)', ""The New Student's Reference Work (Q16082057)"", 'Pedagogues and Psychologists of the World (Q126722605)']",
"Roger Bacon, 1214?-1294",PERSON,Roger Bacon,Q171677,"English polymath, philosopher and friar (c.1219/20–c.1292)",human,"['Rogerus', 'Rogerus Bacon', 'Rogerus Baconus', 'Doctor Mirabilis', 'Frater Rogerus', 'Rogerus Baconis', 'Rogerius Baconis', 'Ruggiero Bacone', 'Rogerus Bachon', 'Rogerius Bacconis', 'Ruggero Bacone', 'Roger Bacco', 'Rogerius Baco', 'Roger', 'Roger Bachon', 'Roger Bacho', 'Rogerius Bacco', 'Roger Baco', 'Rogeri Baconis', 'Admirable Doctor']",n50019200,"['120688673', '315690965']",1008.0,biography/Roger-Bacon,medieval Latin (Q1163234),"['+1220-00-00T00:00:00Z', '+1214-00-00T00:00:00Z', '+1219-00-00T00:00:00Z']","['+1292-00-00T00:00:00Z', '+1294-00-00T00:00:00Z', '+1292-06-11T00:00:00Z']",,,Kingdom of England (Q179876),"['philosopher (Q4964182)', 'physicist (Q169470)', 'theologian (Q1234713)', 'musicologist (Q14915627)', 'music theorist (Q16031530)', 'astrologer (Q155647)', 'alchemist (Q15954519)', 'translator (Q333634)', 'inventor (Q205375)', 'mathematician (Q170790)', 'writer (Q36180)']",Robert Grosseteste (Q256541),,"['theology (Q34178)', 'natural philosophy (Q269323)']",Catholicism (Q1841),male (Q6581097),University of Oxford (Q34433),,"['Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Encyclopædia Britannica 11th edition (Q867541)', 'Dictionary of National Biography, 1885–1900 (Q15987216)', 'Infernal Dictionary, 6th ed. (Q20961706)', 'Orthodox Theological Encyclopedia (Q19211082)', 'BEIC Digital Library (Q51955019)', 'The Nuttall Encyclopædia (Q3181656)', 'Kościelna encyclopedia (Q9253865)', ""Library of the World's Best Literature (Q19098835)"", 'New International Encyclopedia (Q1029706)', ""The New Student's Reference Work (Q16082057)"", 'Granat Encyclopedic Dictionary (Q4532138)', 'Dictionnaire de la Bible (Q122809699)']",
"Roger Brereley, 1586-1637",PERSON,Roger Brereley,Q7357907,English priest,human,"['Roger Brearley', 'Roger Brierley']",n85355732,32341761,3327.0,,,+1586-01-01T00:00:00Z,+1637-01-01T00:00:00Z,,,,,,,,Anglicanism (Q6423963),male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Brereley,_Roger"
"Roger Carr, died 1612",PERSON,Roger Carr (businessman),Q7357956,British businessman,human,"['Roger Carr', 'Sir Roger Martyn Carr']",,,,,,+1946-12-22T00:00:00Z,,,,United Kingdom (Q145),entrepreneur (Q131524),,,,,male (Q6581097),"['Nottingham Trent University (Q2002619)', 'Nottingham High School (Q7063652)']",,,
"Roger Cocks, active 1630-1642",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Roger Coke, active 1696",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Roger Crab, 1621?-1680",PERSON,Roger Crab,Q7358037,English soldier and hermit,human,,n85144245,66817802,6548.0,,,+1621-01-01T00:00:00Z,+1680-09-11T00:00:00Z,,,,"['writer (Q36180)', 'hermit (Q189829)', 'ascetic (Q779458)', 'healer (Q2518689)']",,,"['asceticism (Q179807)', 'hermitage (Q66707630)', 'phytotherapy (Q1650562)']",,male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Roger Fenton, 1565-1616",PERSON,Roger Fenton (priest),Q7358178,English clergyman,human,,n85311623,18150416,9299.0,,,+1565-01-01T00:00:00Z,+1615-01-01T00:00:00Z,,,,"['translator (Q333634)', 'Bible translator (Q24262584)']",,,,Anglicanism (Q6423963),male (Q6581097),Pembroke College (Q956501),,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Fenton,_Roger"
"Roger Gostwick, born 1567 or 8",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Roger Ley, born 1593 or 4",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Roger Marbecke, 1536-1605",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Roger Williams, 1604?-1683",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Ronsovius Ronsovius, Henricus",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Rosières, François de Rosières, François de, 1534",PERSON,Rosières-en-Santerre,Q115359,"commune in Somme, France",commune of France,['Rosières'],,303926994,,,,,,,,,,,,,,,,,,
"Rota Rota, Julianus Martianus",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Rous Rous, Thomas",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Rowland Stedman, 1630?-1673",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Rowland Vaughan, active 1610",PERSON,Rowland Vaughan,Q23620444,,human,,,,,,,+1559-01-01T00:00:00Z,+1629-01-01T00:00:00Z,,,,,,,,,male (Q6581097),,,,
"Rudolf Gwalther, 1519-1586",PERSON,Rudolf Gwalther,Q120138,Swiss theologian (1519–1586),human,"['Rudolph Gwalther', 'Rudolphus Gualterus', 'Gualterus']",n79108025,89586887,68323.0,,Latin (Q397),"['+1519-11-09T00:00:00Z', '+1519-10-02T00:00:00Z']",+1586-12-25T00:00:00Z,,,Switzerland (Q39),"['theologian (Q1234713)', 'writer (Q36180)']",,Antistes (Q352719),,"['Protestantism (Q23540)', 'reformed (Q20011081)']",male (Q6581097),,,Allgemeine Deutsche Biographie (Q590208),
"Rushworth Rushworth, William",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"S. H. (Samuel Harding) S. H. (Samuel Harding), born 1618",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"S. N. (Sylvester Norris) S. N. (Sylvester Norris), 1572",PERSON,Sylvester Norris,Q7660814,English Roman Catholic controversial writer and missionary priest,human,,n87861431,37860040,20284.0,,,+1572-01-01T00:00:00Z,+1630-01-01T00:00:00Z,,,,Catholic priest (Q250867),,,,Catholic Church (Q9592),male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)",
